"fraction","comparison","cluster","term_name","p_value","intersection_size"
"Cellular","M03_vs_D14","1","small molecule metabolic process",1.34044998336535e-15,141
"Cellular","M03_vs_D14","1","organic acid metabolic process",1.18127647430477e-12,86
"Cellular","M03_vs_D14","1","carboxylic acid metabolic process",1.18127647430477e-12,85
"Cellular","M03_vs_D14","2","oxidative phosphorylation",4.31656743855611e-08,32
"Cellular","M03_vs_D14","2","ATP synthesis coupled electron transport",5.07726634867155e-07,21
"Cellular","M03_vs_D14","2","mitochondrial ATP synthesis coupled electron transport",1.52203217818928e-06,20
"Cellular","M03_vs_D21","1","nucleic acid metabolic process",7.54766584471969e-08,174
"Cellular","M03_vs_D21","1","nucleic acid biosynthetic process",3.46925903200015e-07,148
"Cellular","M03_vs_D21","1","macromolecule biosynthetic process",3.89557985600614e-07,222
"Cellular","M03_vs_D21","2","small molecule metabolic process",2.06243638761363e-24,150
"Cellular","M03_vs_D21","2","small molecule catabolic process",9.10012452402186e-19,57
"Cellular","M03_vs_D21","2","carboxylic acid metabolic process",1.34070752780865e-18,91
"Cellular","M06_vs_D14","1","cytoplasmic translation",5.71736629413145e-13,54
"Cellular","M06_vs_D14","1","translation",9.06254173390228e-09,95
"Cellular","M06_vs_D14","1","translation at postsynapse",9.06254173390228e-09,21
"Cellular","M06_vs_D14","2","small molecule metabolic process",3.82094933105374e-15,169
"Cellular","M06_vs_D14","2","carboxylic acid metabolic process",3.69488533227337e-12,100
"Cellular","M06_vs_D14","2","oxoacid metabolic process",3.69488533227337e-12,101
"Cellular","M06_vs_D21","1","macromolecule biosynthetic process",2.92806557264417e-13,285
"Cellular","M06_vs_D21","1","macromolecule metabolic process",2.92806557264417e-13,347
"Cellular","M06_vs_D21","1","nucleic acid metabolic process",1.62176455284815e-12,218
"Cellular","M06_vs_D21","2","carboxylic acid metabolic process",4.76036922567133e-14,88
"Cellular","M06_vs_D21","2","organic acid metabolic process",8.20847149001016e-14,88
"Cellular","M06_vs_D21","2","oxoacid metabolic process",8.20847149001016e-14,88
"Cellular","M12_vs_D14","1","nucleic acid metabolic process",1.70895703909217e-11,91
"Cellular","M12_vs_D14","1","nucleic acid biosynthetic process",1.56122538798278e-10,79
"Cellular","M12_vs_D14","1","RNA biosynthetic process",5.87166198591398e-09,74
"Cellular","M12_vs_D21","1","lipid metabolic process",5.60944835416878e-14,87
"Cellular","M12_vs_D21","1","small molecule metabolic process",1.3023819354957e-07,107
"Cellular","M12_vs_D21","1","fatty acid metabolic process",2.83818850868713e-07,40
"Cellular","M12_vs_D21","2","nucleic acid metabolic process",9.06840136134008e-27,298
"Cellular","M12_vs_D21","2","macromolecule metabolic process",7.82230481029455e-21,443
"Cellular","M12_vs_D21","2","nucleic acid biosynthetic process",7.82230481029455e-21,247
"Cellular","M18_vs_D14","1","nucleic acid biosynthetic process",8.1820833905472e-60,240
"Cellular","M18_vs_D14","1","nucleic acid metabolic process",3.54388055599464e-59,265
"Cellular","M18_vs_D14","1","RNA biosynthetic process",2.66934489389416e-58,233
"Cellular","M18_vs_D14","2","lipid metabolic process",2.90923629515131e-17,92
"Cellular","M18_vs_D14","2","fatty acid metabolic process",4.25278133150712e-15,51
"Cellular","M18_vs_D14","2","carboxylic acid metabolic process",6.32599540342238e-15,80
"Cellular","M18_vs_D21","1","nucleic acid metabolic process",9.83700163987369e-57,408
"Cellular","M18_vs_D21","1","nucleic acid biosynthetic process",1.2363324182405e-50,349
"Cellular","M18_vs_D21","1","RNA metabolic process",5.87747943891096e-48,358
"Cellular","M18_vs_D21","2","lipid metabolic process",4.63577342665355e-24,148
"Cellular","M18_vs_D21","2","fatty acid metabolic process",6.36985422387596e-15,70
"Cellular","M18_vs_D21","2","small molecule metabolic process",2.81142751424347e-14,190
"Cellular","M18_vs_M03","1","transmembrane transport",3.23442934951972e-11,49
"Cellular","M18_vs_M03","1","mitochondrion organization",7.26259412816853e-10,36
"Cellular","M18_vs_M03","1","monoatomic ion transmembrane transport",7.26259412816853e-10,37
"Cellular","M18_vs_M03","2","nucleic acid metabolic process",2.57655650093507e-12,169
"Cellular","M18_vs_M03","2","RNA metabolic process",1.2338566603646e-10,149
"Cellular","M18_vs_M03","2","nucleobase-containing compound metabolic process",2.29355461593352e-10,193
"Cellular","M18_vs_M06","1","nucleic acid metabolic process",1.24806433489993e-16,214
"Cellular","M18_vs_M06","1","RNA metabolic process",1.37807662684104e-16,194
"Cellular","M18_vs_M06","1","RNA biosynthetic process",1.8268264603766e-15,179
"Cellular","M18_vs_M06","2","transmembrane transport",2.89546101358964e-25,88
"Cellular","M18_vs_M06","2","establishment of localization",2.84389142594495e-20,197
"Cellular","M18_vs_M06","2","monoatomic ion transmembrane transport",2.69150379789456e-19,63
"Insoluble","D21_vs_D14","1","RNA splicing",6.73970517666743e-08,78
"Insoluble","D21_vs_D14","1","mRNA processing",1.38947795182367e-06,81
"Insoluble","D21_vs_D14","1","protein folding",1.38947795182367e-06,34
"Insoluble","D21_vs_D14","2","transport",1.92619942568997e-22,423
"Insoluble","D21_vs_D14","2","establishment of localization",1.45025585920617e-21,438
"Insoluble","D21_vs_D14","2","localization",1.1958755137676e-18,488
"Insoluble","M03_vs_D14","1","small molecule metabolic process",2.83950671008968e-36,286
"Insoluble","M03_vs_D14","1","oxoacid metabolic process",1.97760659182096e-21,158
"Insoluble","M03_vs_D14","1","organic acid metabolic process",2.39783533678885e-21,158
"Insoluble","M03_vs_D14","2","nucleic acid metabolic process",1.63456985598214e-17,814
"Insoluble","M03_vs_D14","2","RNA metabolic process",2.50915728839019e-16,725
"Insoluble","M03_vs_D14","2","nucleic acid biosynthetic process",2.50915728839019e-16,704
"Insoluble","M03_vs_D21","1","nucleic acid metabolic process",2.5808888113323e-99,941
"Insoluble","M03_vs_D21","1","nucleic acid biosynthetic process",8.09812064152079e-88,819
"Insoluble","M03_vs_D21","1","RNA metabolic process",5.31976657588846e-85,833
"Insoluble","M03_vs_D21","2","small molecule metabolic process",2.78543195978191e-58,339
"Insoluble","M03_vs_D21","2","lipid metabolic process",4.59712769150228e-36,230
"Insoluble","M03_vs_D21","2","organic acid metabolic process",5.24483636060709e-36,191
"Insoluble","M06_vs_D14","1","small molecule metabolic process",5.32982661952055e-38,281
"Insoluble","M06_vs_D14","1","oxoacid metabolic process",1.21568211415191e-21,154
"Insoluble","M06_vs_D14","1","organic acid metabolic process",1.45593107446256e-21,154
"Insoluble","M06_vs_D14","2","nucleic acid metabolic process",1.52305741359635e-25,815
"Insoluble","M06_vs_D14","2","RNA metabolic process",1.83102797445212e-21,719
"Insoluble","M06_vs_D14","2","nucleic acid biosynthetic process",2.633642220941e-21,698
"Insoluble","M06_vs_D21","1","nucleic acid metabolic process",4.23764733973835e-103,958
"Insoluble","M06_vs_D21","1","RNA metabolic process",1.0029569868568e-92,857
"Insoluble","M06_vs_D21","1","nucleic acid biosynthetic process",6.72130489599932e-91,833
"Insoluble","M06_vs_D21","2","small molecule metabolic process",6.76463385839516e-45,336
"Insoluble","M06_vs_D21","2","lipid metabolic process",7.74292971418208e-35,242
"Insoluble","M06_vs_D21","2","organic acid metabolic process",2.16102565072748e-32,196
"Insoluble","M12_vs_D14","1","nucleic acid metabolic process",1.26685883164754e-77,840
"Insoluble","M12_vs_D14","1","RNA metabolic process",8.34742203500946e-68,747
"Insoluble","M12_vs_D14","1","nucleic acid biosynthetic process",1.61938420627527e-66,726
"Insoluble","M12_vs_D14","2","small molecule metabolic process",1.03682503886543e-34,251
"Insoluble","M12_vs_D14","2","organic acid metabolic process",1.8090916709063e-25,149
"Insoluble","M12_vs_D14","2","oxoacid metabolic process",2.44232629664401e-25,148
"Insoluble","M12_vs_D21","1","lipid metabolic process",1.60164347448225e-36,262
"Insoluble","M12_vs_D21","1","transport",2.83087089871692e-28,540
"Insoluble","M12_vs_D21","1","establishment of localization",7.55355796552614e-25,553
"Insoluble","M12_vs_D21","2","nucleic acid metabolic process",3.31487506155965e-141,1063
"Insoluble","M12_vs_D21","2","RNA metabolic process",6.53139454026571e-133,961
"Insoluble","M12_vs_D21","2","nucleic acid biosynthetic process",1.27634422647492e-130,935
"Insoluble","M12_vs_M03","1","transport",2.32411195091952e-18,231
"Insoluble","M12_vs_M03","1","establishment of localization",8.5957138388715e-18,238
"Insoluble","M12_vs_M03","1","localization",3.44009719313728e-15,260
"Insoluble","M12_vs_M03","2","RNA metabolic process",5.2764508015724e-22,247
"Insoluble","M12_vs_M03","2","RNA splicing",1.651377507022e-21,86
"Insoluble","M12_vs_M03","2","nucleic acid metabolic process",6.32355170924021e-21,265
"Insoluble","M12_vs_M06","1","regulation of RNA splicing",7.4324692298396e-05,9
"Insoluble","M12_vs_M06","1","RNA splicing",0.000139526763318539,13
"Insoluble","M12_vs_M06","1","RNA splicing, via transesterification reactions",0.000349662016281473,10
"Insoluble","M18_vs_D14","1","nucleic acid metabolic process",4.7662231772357e-108,822
"Insoluble","M18_vs_D14","1","RNA metabolic process",6.57903612243166e-97,737
"Insoluble","M18_vs_D14","1","nucleic acid biosynthetic process",1.08010782246718e-92,713
"Insoluble","M18_vs_D14","2","small molecule metabolic process",1.84839221187574e-39,273
"Insoluble","M18_vs_D14","2","lipid metabolic process",1.22903811210788e-26,190
"Insoluble","M18_vs_D14","2","oxoacid metabolic process",9.55875671646234e-24,152
"Insoluble","M18_vs_D21","1","transport",1.73408717023536e-53,675
"Insoluble","M18_vs_D21","1","establishment of localization",1.93943795851041e-50,696
"Insoluble","M18_vs_D21","1","transmembrane transport",2.57410910865852e-42,244
"Insoluble","M18_vs_D21","2","nucleic acid metabolic process",8.45800849214905e-153,1075
"Insoluble","M18_vs_D21","2","gene expression",8.98854074656267e-138,1257
"Insoluble","M18_vs_D21","2","RNA metabolic process",2.5218434661047e-136,961
"Insoluble","M18_vs_M03","1","transport",5.62964386185965e-44,518
"Insoluble","M18_vs_M03","1","establishment of localization",2.99530373962817e-43,537
"Insoluble","M18_vs_M03","1","transmembrane transport",1.01101743837586e-40,203
"Insoluble","M18_vs_M03","2","nucleic acid metabolic process",3.04508406168179e-45,518
"Insoluble","M18_vs_M03","2","gene expression",4.72392823444063e-45,618
"Insoluble","M18_vs_M03","2","macromolecule biosynthetic process",1.16148302731084e-44,638
"Insoluble","M18_vs_M06","1","transmembrane transport",4.48184916043367e-40,175
"Insoluble","M18_vs_M06","1","establishment of localization",1.09375113974856e-36,426
"Insoluble","M18_vs_M06","1","transport",1.19765334183572e-36,409
"Insoluble","M18_vs_M06","2","nucleic acid metabolic process",1.05294194879443e-40,426
"Insoluble","M18_vs_M06","2","nucleobase-containing compound metabolic process",4.23663300666815e-39,471
"Insoluble","M18_vs_M06","2","macromolecule metabolic process",3.32220966505566e-33,607
"Soluble","D21_vs_D14","1","translation at synapse",3.24176682845146e-09,18
"Soluble","D21_vs_D14","1","translation at postsynapse",3.24176682845146e-09,18
"Soluble","D21_vs_D14","1","translation at presynapse",3.24176682845146e-09,18
"Soluble","D21_vs_D14","2","small molecule catabolic process",4.31225162278789e-07,29
"Soluble","D21_vs_D14","2","organic acid catabolic process",6.38690341647551e-07,23
"Soluble","D21_vs_D14","2","carboxylic acid catabolic process",6.38690341647551e-07,23
"Soluble","M03_vs_D14","1","nucleobase-containing compound metabolic process",2.39908217367026e-13,358
"Soluble","M03_vs_D14","1","nucleic acid metabolic process",5.70175402069577e-13,305
"Soluble","M03_vs_D14","1","DNA metabolic process",1.39926018849403e-08,101
"Soluble","M03_vs_D14","2","response to hormone",0.00125260304483258,66
"Soluble","M03_vs_D14","2","lipid metabolic process",0.00148529621637128,78
"Soluble","M03_vs_D14","2","response to endogenous stimulus",0.00267904717056335,87
"Soluble","M03_vs_D21","1","lipid metabolic process",1.28993706856166e-09,110
"Soluble","M03_vs_D21","1","lipid biosynthetic process",1.20398186694567e-06,53
"Soluble","M03_vs_D21","1","carboxylic acid metabolic process",1.89568348803516e-05,100
"Soluble","M03_vs_D21","2","macromolecule metabolic process",1.98991489293913e-14,486
"Soluble","M03_vs_D21","2","primary metabolic process",5.47106615346966e-14,553
"Soluble","M03_vs_D21","2","DNA metabolic process",9.24010850753112e-12,108
"Soluble","M06_vs_D14","1","DNA metabolic process",1.70861018697086e-08,98
"Soluble","M06_vs_D14","1","primary metabolic process",2.53036933304073e-05,492
"Soluble","M06_vs_D14","1","DNA replication",8.05647366383595e-05,37
"Soluble","M06_vs_D14","2","lipid metabolic process",1.20322041681816e-05,92
"Soluble","M06_vs_D14","2","blood coagulation",0.000116191087141436,27
"Soluble","M06_vs_D14","2","coagulation",0.000116191087141436,27
"Soluble","M06_vs_D21","1","primary metabolic process",1.81640831296007e-12,570
"Soluble","M06_vs_D21","1","macromolecule metabolic process",1.65811124681028e-11,493
"Soluble","M06_vs_D21","1","DNA replication",8.51102252231099e-11,48
"Soluble","M06_vs_D21","2","lipid metabolic process",2.9145733094216e-11,126
"Soluble","M06_vs_D21","2","lipid biosynthetic process",1.12868589298826e-05,56
"Soluble","M06_vs_D21","2","small molecule catabolic process",1.12868589298826e-05,61
"Soluble","M12_vs_D14","1","nucleobase-containing compound metabolic process",1.12872787667832e-11,297
"Soluble","M12_vs_D14","1","nucleic acid metabolic process",3.71944968206519e-11,253
"Soluble","M12_vs_D14","1","DNA metabolic process",5.53847093626725e-10,91
"Soluble","M12_vs_D14","2","lipid metabolic process",2.27146735511407e-05,83
"Soluble","M12_vs_D14","2","transport",2.27146735511407e-05,180
"Soluble","M12_vs_D14","2","response to chemical",2.27146735511407e-05,177
"Soluble","M12_vs_D21","1","macromolecule metabolic process",1.46639256415604e-12,484
"Soluble","M12_vs_D21","1","primary metabolic process",1.46639256415604e-12,555
"Soluble","M12_vs_D21","1","nucleobase-containing compound metabolic process",1.19799310118137e-11,355
"Soluble","M12_vs_D21","2","lipid metabolic process",2.53393701672104e-10,126
"Soluble","M12_vs_D21","2","monocarboxylic acid metabolic process",4.51218561128988e-06,84
"Soluble","M12_vs_D21","2","small molecule metabolic process",1.22114066605461e-05,187
"Soluble","M18_vs_D14","1","vesicle-mediated transport",1.68701706735266e-17,151
"Soluble","M18_vs_D14","1","transport",1.63605629484298e-15,250
"Soluble","M18_vs_D14","1","establishment of localization",3.09224701118699e-15,260
"Soluble","M18_vs_D14","2","nucleic acid metabolic process",6.22160068523497e-33,367
"Soluble","M18_vs_D14","2","nucleobase-containing compound metabolic process",2.64377479086281e-29,413
"Soluble","M18_vs_D14","2","nucleic acid biosynthetic process",3.36420265961504e-25,303
"Soluble","M18_vs_D21","1","nucleic acid metabolic process",5.52550336617814e-33,408
"Soluble","M18_vs_D21","1","macromolecule metabolic process",1.36338571617513e-31,616
"Soluble","M18_vs_D21","1","macromolecule biosynthetic process",2.97656891709643e-30,495
"Soluble","M18_vs_D21","2","establishment of localization",1.55681181617907e-14,340
"Soluble","M18_vs_D21","2","transport",2.36483787069101e-14,323
"Soluble","M18_vs_D21","2","localization",7.14889279482485e-13,385
"Soluble","M18_vs_M03","1","cytoplasmic translation",2.19732200509135e-06,23
"Soluble","M18_vs_M03","1","DNA replication",4.96084396561674e-06,18
"Soluble","M18_vs_M03","1","premeiotic DNA replication",7.52387368141711e-06,6
"Soluble","M18_vs_M03","2","cell migration",0.0400596164906405,32
"Soluble","M18_vs_M03","2","regulation of cell migration",0.0462264433522456,23
"Soluble","M18_vs_M03","2","hydrogen peroxide metabolic process",0.0462264433522456,6
"Soluble","M18_vs_M06","1","positive regulation of lamellipodium morphogenesis",0.0240656049799341,3
"Soluble","M18_vs_M06","2","DNA replication",4.5757641692029e-11,20
"Soluble","M18_vs_M06","2","DNA metabolic process",9.15566788724231e-08,29
"Soluble","M18_vs_M06","2","nucleobase-containing compound metabolic process",1.72332273572911e-07,67
